"","member_casual","month","count"
"1","casual","01",7785
"2","member","01",136099
"3","casual","02",12314
"4","member","02",126714
"5","casual","03",24615
"6","member","03",115593
"7","casual","04",47744
"8","member","04",217566
"9","casual","05",81624
"10","member","05",285834
"11","casual","06",130218
"12","member","06",345177
"13","casual","07",175632
"14","member","07",381683
"15","casual","08",186889
"16","member","08",403295
"17","casual","09",129173
"18","member","09",364046
"19","casual","10",71035
"20","member","10",300751
"21","casual","11",18723
"22","member","11",158440
"23","casual","12",16430
"24","member","12",138662
